Course,Credits,Semester_Number
CAMS 5*,3.0,1
General Education Course,3.0,2
General Education Course (GWS)‡,3.0,1
General Education Course,3.0,2
General Education Course,3.0,1
General Education Course (GQ)‡,3.0,2
General Education Course (GQ)‡,3.0,1
World Language Level 2,4.0,2
World Language Level 1,4.0,1
00-||100-Level Course in CAMS*,3.0,2
00-||100-Level Course in CAMS*,3.0,3
100-Level||Above in CAMS||Related Area*,3.0,4
General Education Course (GWS)‡,3.0,3
General Education Course (GN),3.0,4
General Education Course,3.0,3
General Education Course (GA),3.0,4
General Education Course,3.0,3
B.A. Knowledge Domains,3.0,4
World Language Level 3,4.0,3
Elective,3.0,4
General Education Course (GN),3.0,5
General Education Course (GWS)‡,3.0,6
B.A. Knowledge Domains,3.0,5
General Education Course (GA),3.0,6
Elective,3.0,5
Elective,3.0,6
400-Level Course in CAMS||Ancient Language*,3.0,5
Elective,3.0,6
100-Level||Above in CAMS||Related Area*,3.0,5
400-Level Course in CAMS||Ancient Language*,3.0,6
CAMS 400W*,3.0,7
General Education Course (GHW),1.5,8
B.A. Knowledge Domains,3.0,7
Elective,3.0,8
400-Level Course in CAMS||Related Area*,3.0,7
400-Level Course in CAMS||Related Area*,3.0,8
Elective,3.0,7
Elective,3.0,8
World Cultures,3.0,7
Elective,3.0,8
