Course,Credits,Semester_Number
PLSC 1 (US)*,3,1
PLSC 14 (IL)*,3,2
World Language Level 1,4,1
World Language Level 2,4,2
General Education Course (GQ)‡,3,1
General Education Course,3,2
FYS/General Education Course,3,1
General Education Course,3,2
ENGL 15||  30H||  137H|| CAS  137H||||ESL  15 (GWS)‡,3,1
CAS 100|| CAS  100A|| CAS  100B|| CAS  100C|| CAS  138T||||ENGL  138T (GWS)‡,3,2
PLSC 3|| PLSC 20||||PLSC 22*,3,3
PLSC 7N||  10|||| 17N*,3,4
World Language Level 3,4,3
PLSC 400-Level*,3,4
General Education Course (GQ)‡,3,3
General Education Course,3,4
General Education Course,3,3
General Education Course,3,4
General Education Course,3,3
BA Fields,3,4
PLSC 400-Level*,3,5
PLSC 400-Level*,3,6
Related Course in Consultation with Adviser*,3,5
Related Course in Consultation with Adviser*,3,6
General Education Course,3,5
General Education Course,3,6
ENGL 202A||  202B||  202C|||| 202D (GWS)‡,3,5
BA Fields,3,6
BA Fields,3,5
Elective (WAC),3,6
PLSC 400-Level*,3,7
PLSC 400-Level*,3,8
Related Course in Consultation with Adviser*,3,7
Elective,3,8
Elective,3,7
Elective,3,8
Elective (OC),3,7
Elective,3,8
Elective,3,7
General Education Course (GHW),3,8
