major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url
Supply Chain and Information Systems B.S.,ENGL  138T,"CAS 100, ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,ENGL  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,ACCTG 211,"; 1,2",4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,BLAW  341,,3.0,0,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,CAS  137H,", , , ,",3.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,CAS  138T,"CAS 100, ,",3.0,0,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,ENGL 202D,; 1,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,MATH 110,,4.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,STAT 200,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,ECON 102,; 2,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,ECON 104,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,BLAW 341,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,MATH 140,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,MGMT 301,"; 1,2",3.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,MKTG 301,"; 1,2",3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 450W,; 1,3.0,1,0,1,Fourth Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,FIN 301,"; 1,2",3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,BA  342,,3.0,0,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,MIS 250,; 1,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 200,,4.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 301,; 1,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 404,; or  4051,3.0,1,0,1,Third Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 405,; or  4041,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 406,; 1,3.0,1,0,1,Third Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 421,; 1,3.0,1,0,1,Fourth Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,BA 411,; 5,3.0,1,0,1,Fourth Year,Fall; Spring,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,BA 342,,3.0,1,0,0,,,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,PSU 6,,1.0,0,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
