Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Supply Chain and Information Systems B.S.,ECON 104,Introductory Macroeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,FIN 301,Corporation Finance,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,STAT 200,Elementary Statistics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 421,Supply Chain Analytics,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,ACCTG 211,Financial and Managerial Accounting for Decision Making,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 406,Strategic Procurement,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,MATH 110,Techniques of Calculus I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,MIS 250,Introduction to Problem Solving with Spreadsheet Analysis and Information Systems Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,MKTG 301,Principles of Marketing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 405,Manufacturing and Services Strategies,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,MGMT 301,Basic Management Concepts,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,ECON 102,Introductory Microeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,MATH 140,Calculus With Analytic Geometry I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 200,Introduction to Statistics for Business,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,BA 411,Analyzing Business and Industry,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 404,Demand Fulfillment,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,BLAW 341,"Business Law I: Introduction to Contracts, Liability Issues, and           Intellectual Property",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 450W,Strategic Design and Management of Supply Chains,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,BA 342,"Socially Responsible, Sustainable and Ethical Business Practice",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,ENGL 202D,Effective Writing: Business Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
Supply Chain and Information Systems B.S.,SCM 301,Supply Chain Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/supply-chain-information-systems-bs/
