Major,Course_Code,Course_Title,Credits,Type,Credits_Required,URL
Finance B.S.,ECON 104,Introductory Macroeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,FIN 305W,Financial Management of the Business Enterprise,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,FIN 301,Corporation Finance,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,STAT 200,Elementary Statistics,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,ACCTG 211,Financial and Managerial Accounting for Decision Making,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,FIN 406,Security Analysis and Portfolio Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,MATH 110,Techniques of Calculus I,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,MIS 250,Introduction to Problem Solving with Spreadsheet Analysis and Information Systems Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,MKTG 301,Principles of Marketing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,FIN 408,Financial Markets and Institutions,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,MGMT 301,Basic Management Concepts,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,ECON 102,Introductory Microeconomic Analysis and Policy,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,MATH 140,Calculus With Analytic Geometry I,N/A,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,SCM 200,Introduction to Statistics for Business,4,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,BA 411,Analyzing Business and Industry,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,BLAW 341,"Business Law I: Introduction to Contracts, Liability Issues, and           Intellectual Property",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,BA 342,"Socially Responsible, Sustainable and Ethical Business Practice",3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,ENGL 202D,Effective Writing: Business Writing,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,SCM 301,Supply Chain Management,3,Mandatory,N/A,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,FIN 405,Advanced Financial Management,,A,6,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,FIN 407,Multinational Financial Management,,A,6,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,FIN 410,Derivative Markets,,A,6,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,FIN 414,Financial Trading and Applications,,A,6,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,FIN 415,Advanced Financial Modeling,,A,6,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,FIN 460,Real Estate Financial Analysis,,A,6,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,RM 460,Real Estate Financial Analysis,N/A,A,6,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,FIN 470,Real Estate and Capital Markets,,A,6,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
Finance B.S.,RM 470,Real Estate and Capital Markets,N/A,A,6,https://bulletins.psu.edu/undergraduate/colleges/smeal-business/finance-bs/
